problem_ordinal,example_idx,step,phase,draft_latency_ms,prm_latency_ms,target_latency_ms,draft_input_tokens,draft_output_tokens,fpga_draft_ms,our,weak,strong
3,3,4,draft|draft_verify,37.74547576904297,49.64494705200195,0.0,212.0,10.0,33.3872,49.61700819631348,87.45043082104493,49.61700819631348
3,3,5,draft|draft_verify,125.03409385681152,59.02099609375,0.0,222.0,34.0,116.5088,116.5088,184.1151171505615,125.03409385681152
3,3,6,draft|draft_verify,38.977622985839844,59.24510955810547,0.0,256.0,10.0,34.3376,59.08102329375,98.28274054394532,59.08102329375
3,3,7,draft|draft_verify,331.2981128692627,76.97272300720215,0.0,266.0,87.0,313.57079999999996,313.57079999999996,408.33090547646486,331.2981128692627
3,3,8,draft|draft_verify,127.5629997253418,91.57609939575195,0.0,353.0,32.0,119.2936,119.2936,219.19912472109377,127.5629997253418
3,3,9,draft|draft_verify,51.831722259521484,92.15927124023438,0.0,385.0,13.0,48.5852,91.63612499575196,144.05100389975587,91.63612499575196
3,3,10,draft|draft_verify,27.880430221557617,92.58055686950684,0.0,398.0,7.0,25.8716,92.21928164023437,120.52099269106445,92.21928164023437
3,3,11,draft|draft_verify,111.45853996276855,124.10688400268555,0.0,405.0,29.0,111.4204,111.4204,235.6254471654541,111.45853996276855
3,3,12,draft|draft_verify,78.17935943603516,124.31812286376953,0.0,434.0,20.0,77.6464,124.16690720268555,202.5574982998047,124.16690720268555
3,3,13,draft|draft_verify,330.7061195373535,135.68520545959473,0.0,454.0,86.0,348.208,348.208,466.45139379694825,330.7061195373535
3,3,14,draft|draft_verify,47.19972610473633,126.75714492797852,0.0,540.0,12.0,48.8544,135.74527425959474,174.01688063271484,135.74527425959474
3,3,15,draft|draft_verify,180.46045303344727,127.58326530456543,0.0,552.0,47.0,198.42520000000002,198.42520000000002,308.1037559380127,180.46045303344727
3,3,16,draft|draft_verify,39.94441032409668,129.14347648620605,0.0,599.0,10.0,41.7464,127.64330290456543,169.14789481030274,127.64330290456543
3,3,17,draft|draft_verify,59.34643745422363,130.96284866333008,0.0,609.0,15.0,63.7644,129.20348448620607,190.3692981175537,129.20348448620607
3,3,18,draft|draft_verify,146.24738693237305,150.75421333312988,0.0,624.0,37.0,161.702,312.5162429331299,297.06162986550294,297.06162986550294
4,4,1,draft|draft_verify,317.3367977142334,50.77362060546875,0.0,115.0,78.0,252.31920000000002,317.3367977142334,368.17048071970214,317.3367977142334
4,4,2,draft|draft_verify,473.4025001525879,77.66604423522949,0.0,193.0,116.0,402.196,402.196,551.1286371878174,473.4025001525879
4,4,3,draft|draft_verify,480.6995391845703,92.8492546081543,0.0,309.0,125.0,469.3084,469.3084,573.6088937927245,480.6995391845703
4,4,4,draft|draft_verify|target|target_rescue_verify,51.17058753967285,250.1969337463379,391.3555145263672,434.0,13.0,49.9964,391.3555145263672,692.7830462123779,391.3555145263672
4,4,5,draft|draft_verify,44.94524002075195,125.05340576171875,0.0,446.0,10.0,38.4416,125.09846687316895,170.0586537824707,125.09846687316895
4,4,6,draft|draft_verify,111.81020736694336,125.59199333190918,0.0,456.0,26.0,102.76,125.11341376171875,237.46222149885256,125.11341376171875
4,4,7,draft|draft_verify,32.12904930114746,125.45108795166016,0.0,482.0,8.0,31.1248,125.65201413190918,157.6401436528076,125.65201413190918
4,4,8,draft|draft_verify,77.33511924743652,126.24549865722656,0.0,490.0,20.0,80.2,125.51109435166016,203.6406339046631,125.51109435166016
