problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
99,99,13,3619.607837603381,4745.44937817129,2883.181009322913,1865.6761000611116,3040.653845695052,2341.9611937823156,1.3110396460278837,0.7965451338043096,1.629786566701183,1.25528820018952
100,100,11,6354.8502111610105,7700.082248210814,4998.707495518823,3203.7635734978394,4885.094214117486,3902.0592766809837,1.2116858765116407,0.7865972177817194,1.5247986007856336,1.2179610595986494
101,101,9,3363.59752142815,3094.3240194196537,2509.9111575060306,1391.4432910947482,2008.1222585857554,1769.6995669366338,0.9199447911668798,0.7461984204460786,1.4431937481302752,1.2718445503763824
102,102,6,3361.8564302168456,3876.9332321663333,2868.915514097461,1608.8398927271319,2473.4125536963666,2142.1639273733995,1.1532120162300519,0.8533724070758164,1.5373888755976235,1.331496028322765
103,103,19,12104.978677666468,14736.600785353487,9830.823766032738,6457.559876154387,9305.486737655492,7276.866315580348,1.2173999787824763,0.8121306140068204,1.4410221377919465,1.1268755466676177
104,104,9,11613.37280336665,14756.743342553904,10379.91611316405,6169.290480483558,9155.238860513553,7231.723941683769,1.270668185066444,0.8937899685916371,1.484001910669629,1.172213233363091
105,105,7,8055.184792771057,9612.553846941626,6506.114046505457,4271.577302085501,6013.256410350863,4584.042366862297,1.1933374707391189,0.8076927114501733,1.407736764453502,1.073149809234224
106,106,19,7129.782387234253,8403.928418994288,5448.035799474121,3465.7714549141288,5375.014074126047,4257.605284111915,1.1787075625255226,0.7641237142424895,1.550885320641901,1.228472604007123
107,107,5,23559.227988696774,25182.29846323149,21490.075321606928,11702.758520500924,15422.827065807513,13341.22795923551,1.0688931944337663,0.9121723059820729,1.3178796297291586,1.1400071133540277
108,108,21,19606.985669441234,16639.749406238352,11430.817178645337,8688.052204760144,10760.383798945426,8765.364247560501,0.8486643325379937,0.5829971710777048,1.2385266047376948,1.0088986623213425
109,109,18,27144.004385879573,25427.976677638722,20004.89491353719,13799.063432221776,15891.944756076386,13167.10023853304,0.936780598623336,0.7369912938838097,1.151668360257522,0.9542024575223664
110,110,6,12514.427096601807,12235.633344350317,10039.74726176015,6420.445353508881,7651.7889534002325,6878.770572994029,0.9777222121237021,0.8022538454426223,1.1917847644662845,1.0713852691285137
111,111,8,15235.711069359486,15154.229153049488,11526.081416377918,8086.54596322668,9489.503568634325,8161.805986507113,0.9946519124746421,0.7565174584833131,1.1734928128508206,1.009306819453284
112,112,5,1283.2655007974608,1456.27259069021,1290.8586824930176,519.455764186615,945.0686839355463,884.6273469924927,1.1348178453992859,1.0059170777137219,1.8193439154831081,1.70298879708781
113,113,5,1129.7390942431641,1081.2809209404786,903.8507323565674,469.94816292123414,701.6990927735704,637.867773771286,0.9571067571710894,0.8000526289320596,1.4931414741825026,1.3573151766489533
114,114,5,1221.172014744116,1284.7642880648682,1063.584687971045,515.1649876272772,833.7597938612995,749.2191226582713,1.0520747876244751,0.8709540303328259,1.618432567984465,1.4543284979613806
115,115,5,18336.226358393287,18233.78346571416,18057.767041822386,11773.64598198407,11833.67324293969,13899.750304127954,0.9944130874762989,0.9848137064231083,1.0050984428313434,1.1805816418632964
116,116,9,1469.07957223103,1536.175410525415,1153.878270747876,641.1849693031435,996.8838505285944,839.0674822678095,1.0456720245537752,0.785443002924293,1.5547523698380419,1.308620012068795
117,117,5,2702.106877336926,3605.5854228940925,2406.604962300415,1457.2255332556335,2270.464416683562,1888.9133364452766,1.3343607734893128,0.8906401824757781,1.5580734518225505,1.296239527333285
118,118,2,1223.0018298085938,1678.7187999492432,1083.145136119629,641.7489052572022,1061.5524140151972,890.7914042472839,1.3726216584745188,0.8856447388056212,1.6541553952316363,1.3880684438258133
119,119,5,1777.7212367119384,1663.9311863718262,1399.1999187340332,727.4979524871828,1079.8391009793154,980.2761650085449,0.935991060921015,0.7870749866958805,1.4843190929782584,1.3474624384263343
120,120,4,1988.570893533838,2245.2953666694334,1785.9958963536621,981.0531754426851,1408.3039143947265,1263.7667894363403,1.12909998530622,0.8981303619403858,1.4355021212374661,1.288173588415414
121,121,8,2814.767916078052,2675.275252338257,2098.3804722794434,1186.1391417156678,1736.1700596075289,1505.2542677105994,0.9504425700808197,0.7454896939436538,1.4637153421109428,1.2690368395847333
122,122,14,3315.969159669971,4090.075446567554,2789.4659111266847,1572.5816436269834,2632.232162421713,2106.815487615916,1.2334479754252683,0.8412219103401771,1.6738286200204935,1.3397177158680182
123,123,9,6261.460346861059,6743.547893474951,4775.793416852368,3236.8145558533574,4321.274741244779,3894.181951823371,1.0769928291337927,0.7627283656354267,1.3350393316263103,1.2030908427488534
124,124,9,6498.396914544164,7678.28805924043,5567.758770921576,3414.289420080899,4845.268379214187,3871.35293251276,1.181566494046483,0.8567895812058336,1.419114721416728,1.1338678290550517
125,125,6,2692.986727121851,3600.535417488208,2263.2881981423584,1459.898038245172,2278.2310712965527,1841.5207288265228,1.3370045166677471,0.8404379328528159,1.5605412238480942,1.261403660107708
126,126,7,3862.48410467146,4234.771343723511,3028.049646730786,1784.9715173864136,2707.0422419025476,2253.5463569164276,1.0963854423638377,0.783964299831947,1.5165744750180923,1.2625111016987596
127,127,7,3234.859869870117,4408.720996598852,2612.3352182416133,1809.2344452479979,2792.5709306445865,2227.2267013788223,1.3628785091008802,0.807557459466243,1.5435097081969382,1.2310326653511887
128,128,12,1914.7953121004398,2340.387076214307,1723.5529159396242,868.7722456375906,1518.7858919558848,1254.0512054762821,1.2222648872306947,0.900123843550133,1.7481979881174154,1.4434752166327964
129,129,8,8278.12828608872,7405.9680005468745,6050.075433159032,4019.8653393687086,4765.15982391089,4685.104875046884,0.8946428159361218,0.7308506493341134,1.1854028485091554,1.1654880150245648
130,130,6,39321.43622665614,41821.029126957175,38508.80878662775,21073.382317868687,26972.852261989996,28356.496266901493,1.0635681994394335,0.9793337294359176,1.279948887897269,1.3456072612917604
131,131,9,2539.804449759912,2652.042446015772,2120.8184650319827,1075.988150755658,1721.0815328978358,1506.6173947772413,1.044191589736946,0.8350321873136587,1.5995357678326978,1.4002174593829457
132,132,9,3317.9652193970705,3449.6943049464844,2638.128698394873,1397.9364152380983,2238.757573475069,1892.6078386306763,1.0397017680532985,0.7951043859568441,1.6014731064100372,1.3538583142984546
133,133,11,6164.315103797449,8718.051767717701,5169.737396419396,3514.8761871069028,5489.986372407455,4215.772233605385,1.4142774373015186,0.8386556023449618,1.5619288077758058,1.1994084596975207
134,134,6,3954.3709898843754,3274.441222126416,2842.116387332129,1564.1866424032896,2125.049631588844,1959.5220413941895,0.8280561511559541,0.7187278064204167,1.3585652594014088,1.2527418328950106
135,135,13,7803.7296866645265,6852.267514891846,5564.016241599219,3143.00485276149,4446.985752396808,3883.9906774789392,0.8780759700840747,0.7129944866116183,1.4148835145735206,1.2357571366987894
136,136,22,49968.060160680936,50683.55847866633,41385.933512526615,26731.71213085943,32542.989372043477,33256.839957300326,1.0143191133633083,0.8282477522529991,1.217392631371166,1.2440968911567847
137,137,19,5385.238483258094,6435.03401015393,4367.574164835059,2583.354168246062,4141.445742187314,3302.2320532325984,1.1949394683558572,0.8110270656375196,1.6031273578717626,1.2782730660096098
138,138,4,7646.080627862744,8131.990263574366,5540.3721951906255,4167.223564687461,5119.1108663019495,4263.663799285889,1.0635501584878584,0.7246028998178753,1.2284224224686826,1.0231425631721924
139,139,5,2975.0041550040773,2816.405947371753,2310.8171753867678,1260.2226007383304,1812.8718540848345,1652.5074394527594,0.946689752562007,0.7767441842055514,1.438533044100877,1.3112821802153047
140,140,7,4222.016692983216,6515.812190629638,3754.5775298729495,2542.7125116086017,4077.321876250067,3139.4842185627,1.5432938011492465,0.8892853351605343,1.6035323921345013,1.2346988518086779
141,141,11,2653.734988069873,2695.797103907202,2015.8091865977783,1137.5981462542725,1749.457425034174,1462.9362592650493,1.015850156864353,0.7596120922624328,1.5378518598984607,1.285986852283476
142,142,5,2694.4562272281614,3309.5140487242425,2442.650660937109,1402.341139148166,2064.4847350107757,1772.3003468018192,1.2282678839911245,0.906546796438371,1.4721701284930002,1.263815413614964
143,143,24,19822.974580817445,20255.59189140642,12399.168417662633,9399.717586236307,12970.295466407386,9611.247296440484,1.0218240359853772,0.6254948452419055,1.3798601231806535,1.0225038367656825
144,144,16,29155.524628961844,29419.839992916433,25173.773893976497,15337.525681844647,18917.263250537737,17382.27524478279,1.0090657042642281,0.8634306607184132,1.2333973316785054,1.1333167816865375
145,145,9,2409.8263867720707,3038.823877702075,2223.1826661589234,1146.0857329381402,1959.4025812464067,1636.2666574984678,1.2610136125916265,0.922548893298843,1.7096474765663672,1.4277000493703773
146,146,7,17050.07912904686,15949.235130452687,12252.262891659775,9018.531813689204,10042.842366858518,8912.997675975164,0.9354346692316078,0.7186044591890822,1.113578415459434,0.9882980800096697
147,147,5,3178.5977696254886,3526.9838921544674,2635.530395237891,1538.7453573373625,2233.789396102321,1954.1960043720067,1.1096037145241018,0.8291487587460356,1.4516952954240976,1.2699931116305936
148,148,12,12449.459327434926,12434.161194016478,8773.74800727981,6485.4276304016485,7929.120829948505,7110.0295527321705,0.9987711808990182,0.7047493209560566,1.2226057064886942,1.0963085177918854
149,149,5,1852.802148062427,2645.735050014795,1663.5741229861328,1064.3874777229491,1666.3075127668849,1364.92941904068,1.427964152989341,0.897869275856475,1.565508377016636,1.2823614027860248
