problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
110,110,6,10424.32404137136,12235.633344350317,10039.74726176015,5979.561426852683,7651.7889534002325,6878.770572994029,1.1737579622228123,0.9631077489451665,1.2796572201830727,1.150380451332639
111,111,8,12669.931069359485,15154.229153049488,11526.081416377918,7431.653065676251,9489.503568634325,8161.805986507113,1.1960782635746094,0.9097193467967783,1.276903467475149,1.098249059042212
112,112,5,818.325500797461,1456.27259069021,1290.8586824930176,401.17329313046264,945.0686839355463,884.6273469924927,1.779576206865199,1.5774391501121148,2.35576171225388,2.2051002949112304
113,113,5,693.4990942431641,1081.2809209404786,903.8507323565674,354.508107375824,701.6990927735704,637.867773771286,1.5591670269166136,1.303319268704981,1.9793597894495527,1.7993037690815472
114,114,5,925.5620147441163,1284.7642880648682,1063.584687971045,464.2755074559243,833.7597938612995,749.2191226582713,1.388090984287053,1.149123096052172,1.7958298046563483,1.6137382020510698
115,115,5,17871.23326693225,18233.78346571416,18057.767041822386,12678.518863970032,11833.67324293969,13899.750304127954,1.020286803566755,1.0104376554266843,0.9333640127766633,1.0963228791360191
116,116,9,922.8447326602295,1536.175410525415,1153.878270747876,499.90751010526907,996.8838505285944,839.0674822678095,1.6646087431167036,1.2503493056970265,1.9941365760211793,1.6784454430202922
117,117,5,2287.2049196032713,3605.5854228940925,2406.604962300415,1373.6998051037142,2270.464416683562,1888.9133364452766,1.5764155594416533,1.0522034740629425,1.652809739251686,1.375055401061707
118,118,2,950.3518298085937,1678.7187999492432,1083.145136119629,600.6124104857179,1061.5524140151972,890.7914042472839,1.7664182330109752,1.1397306788347854,1.7674500151548902,1.483138524438576
119,119,5,1103.2712367119384,1663.9311863718262,1399.1999187340332,550.8886244338989,1079.8391009793154,980.2761650085449,1.5081796125953701,1.2682284031115016,1.9601767999638284,1.7794452844545317
120,120,4,1638.0477558278442,2245.2953666694334,1785.9958963536621,917.122084201355,1408.3039143947265,1263.7667894363403,1.3707142289845484,1.0903197968431924,1.5355686431006628,1.3779700774917543
121,121,8,1782.4720302048586,2675.275252338257,2098.3804722794434,921.4573434616095,1736.1700596075289,1505.2542677105994,1.5008792323270221,1.1772305184717415,1.8841567349013835,1.6335582741745358
122,122,14,2382.4041871775876,4090.075446567554,2789.4659111266847,1353.9705239443806,2632.232162421713,2106.815487615916,1.716784863198645,1.1708617396409715,1.944083800844871,1.5560275872759408
123,123,9,3955.5915354486697,6743.547893474951,4775.793416852368,2402.851155743817,4321.274741244779,3894.181951823371,1.7048140165741488,1.207352522133119,1.7983946824650912,1.620650510338375
124,124,9,5460.1344992927425,7678.28805924043,5567.758770921576,3185.769785721547,4845.268379214187,3871.35293251276,1.4062452234894594,1.0197109195099083,1.5209097659631357,1.2152017229443135
125,125,6,2058.907471364575,3600.535417488208,2263.2881981423584,1269.3374907902162,2278.2310712965527,1841.5207288265228,1.748760188383742,1.0992665914424637,1.794819020021427,1.4507731333769227
126,126,7,2700.0077555656253,4234.771343723511,3028.049646730786,1476.0200110498351,2707.0422419025476,2253.5463569164276,1.5684293258025725,1.1214966477370134,1.8340145944072497,1.526772225339661
